CO,Gas,Temp,Humidity,Pressure,Oxygen,Alert,Escape_Time
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.1,450,25.5,50.0,1013.25,20.9,no,60.0
0.51,363.17,32.24,57.21,1009.36,19.11,Warning: Oxygen Fatigue (Low O2),17.6
0.47,406.46,31.41,74.07,1011.99,19.01,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,14.2
0.46,406.46,31.41,74.07,1011.98,19.03,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,10.4
0.48,399.24,31.41,74.08,1011.99,19.03,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,7.8
0.46,413.82,31.41,74.08,1011.98,19.06,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,6.0
0.49,399.24,31.41,74.09,1011.97,19.04,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,4.8
0.5,400.67,31.41,74.07,1011.98,19.06,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,3.9
0.51,405.01,31.41,74.03,1011.97,19.05,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,3.3
0.53,399.24,31.42,73.99,1011.96,19.07,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,2.9
0.5,392.13,31.42,73.95,1011.98,19.06,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,2.6
0.51,405.01,31.42,73.92,1012.0,19.07,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,2.4
0.5,406.46,31.42,73.87,1011.98,19.06,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,2.3
0.5,399.24,31.42,73.86,1012.0,19.42,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk)|URGENT: Estimated 60.0 minutes until unconsciousness,2.2
0.49,397.81,31.42,73.85,1012.0,20.07,Warning: High Humidity (Respiratory Risk),2.1
0.49,399.24,31.42,73.85,1011.95,20.75,Warning: High Humidity (Respiratory Risk),2.1
0.49,403.56,31.42,73.82,1011.95,20.95,Warning: High Humidity (Respiratory Risk),2.1
0.5,406.46,31.42,73.83,1011.94,20.94,Warning: High Humidity (Respiratory Risk),2.3
0.5,400.67,31.42,73.85,1011.95,20.93,Warning: High Humidity (Respiratory Risk),2.6
0.52,413.82,31.43,73.9,1011.95,20.92,Warning: High Humidity (Respiratory Risk),3.1
0.5,406.46,31.43,73.91,1011.95,20.92,Warning: High Humidity (Respiratory Risk),3.8
0.53,405.01,31.42,73.9,1011.94,20.96,Warning: High Humidity (Respiratory Risk),4.9
0.31,348.11,31.37,73.48,1011.97,20.91,Warning: High Humidity (Respiratory Risk),43.5
0.29,346.85,31.37,73.52,1012.0,20.9,Warning: High Humidity (Respiratory Risk),32.0
0.3,346.85,31.37,73.54,1012.01,20.93,Warning: High Humidity (Respiratory Risk),23.9
